nombre,sintoma_1,sintoma_2,sintoma_3,sintoma_4,sintoma_5,sintoma_6,solucion,medicamento,licencia_medica
migraña,dolor_de_cabeza,vision_borrosa,rigidez_nuca,irritabilidad,acidez,indigestion,seis_dias,comer_beterraga,no
malaria,fiebre_alta,vomitos,escalofrios,traspiracion,dolor_de_cabeza,dolor_muscular,cuarenta_dias,congelarse,si
varicela,erupcion_cutanea,pustulas,letargo,fiebre_alta,alteracion_ganglios_linfaticos,perdida_apetito,veinte_dias,taparse_con_tierra,si
resfriado_comun,congestion_nasal,estornudos,dolor_garganta,tos,fiebre_baja,malestar_general,tres_dias,tomar_sopa_de_pollo,no
gripe,fiebre_alta,dolor_muscular,escalofrios,tos,cansancio_extremo,dolor_de_cabeza,cinco_dias,infusion_magica,si
faringitis,dolor_garganta,dificultad_para_tragar,fiebre,inflamacion_amigdalas,dolor_de_cabeza,ronquera,siete_dias,miel_con_limon,no
otitis,dolor_oido,fiebre,secrecion_oido,irritabilidad,perdida_audicion,mareos,nueve_dias,algodon_magico,si
conjuntivitis,ojo_rojo,picazon,secrecion,hinchazon,sensibilidad_a_la_luz,lagrimeo,cuatro_dias,gotas_milagrosas,no
amigdalitis,dolor_garganta,inflamacion_amigdalas,fiebre,mal_aliento,dificultad_para_tragar,dolor_oidos,ocho_dias,galletas_curativas,si
bronquitis,tos,flema,fiebre_baja,dificultad_para_respirar,cansancio,dolor_pecho,diez_dias,jarabe_de_la_abuela,no
sinusitis,dolor_cara,congestion_nasal,dolor_cabeza,tos,fiebre,sensibilidad_facial,once_dias,vapores_misticos,no
dermatitis,picazon,enrojecimiento,hinchazon,descamacion,irritacion,ardor,doce_dias,crema_extraterrestre,no
cistitis,dolor_al_orinar,orina_turbia,urgencia_miccion,fiebre,dolor_abdominal,mal_olor,seis_dias,infusion_de_estrellas,si
hemorroides,dolor_rectal,sangrado,picazon,hinchazon,molestia_al_sentarse,irritacion,quince_dias,pomada_astral,no
gastritis,dolor_estomago,acidez,nauseas,vomitos,sensacion_de_lleno,perdida_apetito,catorce_dias,caldo_ancestral,no
